Target (Train),Prediction (Train)
3.131507,2.4969172
2.7698631,2.0327246
8.134247,8.2493305
3.0054793,3.881749
2.7068493,2.5974007
5.923288,2.811243
3.1452055,1.48168
3.139726,3.1276972
3.2246575,1.7918537
1.6520548,4.4679384
8.742466,5.70341
0.021917809,0.9273125
2.860274,4.0736227
1.2273972,1.3162073
5.720548,6.5217953
3.0684931,2.3608768
0.4410959,0.9370903
8.750685,8.525995
7.3342466,7.799483
1.7260274,1.9653736
3.471233,2.5449653
1.9178082,1.6914879
6.5561643,5.89808
5.657534,5.4724636
3.490411,5.0814977
5.8246574,5.0327215
7.860274,6.3582897
6.210959,6.4820747
3.3041096,4.873627
5.980822,7.7536983
5.830137,4.2421846
0.84109586,1.4475503
6.580822,4.8581
0.03561644,0.061885893
5.808219,5.1841807
4.5068493,6.482154
4.5835614,4.3450117
8.972603,7.2014184
3.0712328,4.2757573
7.191781,6.288733
8.397261,7.43155
5.3945208,6.1385903
1.6273973,0.49086082
6.4246573,5.872577
12.117808,11.07678
5.4356165,4.1292696
5.060274,4.901284
4.389041,3.9257734
0.038356163,-1.5641755
6.189041,5.3379226
1.0739726,1.5117929
9.317808,6.8873553
6.2958903,5.7373385
5.391781,4.345158
11.084931,11.449023
7.3808217,6.7793064
3.4465754,3.6601074
12.235617,12.693152
10.010959,10.191855
1.830137,1.6233444
4.972603,5.477123
1.4027398,-0.2085357
5.868493,5.022439
2.8164384,1.5544047
0.008219178,-0.56918526
0.016438356,0.8530908
13.030137,11.221762
7.0410957,7.236305
0.03287671,0.85876167
3.1479452,3.4018657
3.1424658,2.3749661
1.060274,0.8723767
5.7835617,3.3900702
5.5342464,3.8595846
2.9917808,1.9070296
2.090411,1.6310234
2.0328767,2.1604192
3.0739727,3.0151684
11.654795,9.420008
9.186301,7.4275484
9.169863,9.055643
12.616438,12.675691
4.6356163,4.1692076
2.3452055,2.0057557
3.9068494,4.2885256
6.180822,3.6152961
2.8136985,3.1204808
6.657534,6.108292
5.2246575,4.8071203
7.1671233,7.1553936
3.528767,2.7236347
1.5616438,0.9355309
7.8054795,6.495752
7.1123285,6.9128804
6.186301,3.9857318
7.786301,8.64505
6.9452057,8.343023
2.1561644,2.1196003
9.410959,6.0762396
4.9643836,4.5798135
7.027397,6.123738
8.394521,8.482286
7.9945207,8.252466
1.0438356,3.079366
6.4164386,5.012504
5.4082193,4.978948
4.8547945,5.5148997
7.6657534,6.2600026
1.430137,0.64603686
7.8328767,7.0939126
5.791781,5.683505
2.2438357,1.0073963
3.709589,3.9341123
1.1150684,1.5369033
3.958904,3.6675115
0.80547947,0.47105813
3.5452056,4.058565
4.5917807,4.593544
1.9232876,-0.15813106
0.42465752,2.4778028
5.980822,8.070094
2.5616438,2.75119
3.2219179,1.3957486
9.123287,9.698945
5.7041097,2.8774514
5.1945205,4.489321
2.2246575,1.9560565
2.010959,2.0439858
2.6547945,2.8603687
1.2383561,1.0343632
10.331507,10.061885
1.4054794,2.959264
8.378082,10.734623
1.9369863,2.044513
1.9972603,1.4237441
8.980822,7.3150983
6.0547943,2.5015697
10.819178,9.399272
2.0328767,0.68438816
9.5643835,9.9239025
3.3232877,4.985004
9.153424,9.321662
9.147945,9.279041
9.046576,8.040297
4.764384,2.2935157
1.1260273,0.74594986
4.4383564,3.9262269
6.942466,7.1414785
6.342466,6.7758102
1.8219178,0.87511206
12.778082,11.446456
9.704109,8.079797
2.0246575,1.890347
3.1643836,1.9266354
2.410959,2.0062428
9.608219,9.633646
2.7561643,2.9568439
1.8410959,0.7652615
1.6986301,1.8172094
1.369863,0.5801627
3.2438357,4.576752
6.6164384,4.66476
6.2493153,5.597635
0.002739726,-1.2341709
7.6246576,5.192984
2.7808218,2.700848
5.0849314,4.68115
5.810959,5.32795
4.5424657,5.9815297
3.0082192,2.0072942
4.969863,6.7506175
0.021917809,1.1511315
9.115068,8.151595
9.164384,11.179073
2.9863014,2.6019309
4.257534,4.8945627
3.3424656,1.7063664
7.652055,8.748261
2.419178,2.597753
12.057534,12.434027
6.8630137,4.8685665
9.761643,10.77448
10.446575,9.3883915
9.706849,8.848134
12.482192,12.263049
4.0383563,2.8133438
10.986301,11.947301
3.3424656,3.3499422
1.9315069,1.9523343
12.756165,11.59245
8.550685,8.995355
2.0082192,2.647075
4.39726,4.7406783
2.5671232,0.21428996
3.2027397,2.3838105
10.2739725,8.576256
5.580822,4.0718436
2.9342465,3.6694067
4.3287673,2.4698222
1.7808219,1.4578929
2.1890411,3.4492621
5.580822,5.4065285
1.9780822,0.17487583
6.219178,5.792637
3.679452,4.0301375
5.843836,4.720776
3.3342466,2.3174682
1.8082192,1.2944843
12.142466,12.298159
3.6054795,3.243633
4.5835614,5.6022916
3.7972603,4.3074217
13.942466,13.915175
4.279452,3.0220273
7.441096,7.1572304
2.2246575,1.2836466
5.2,5.941639
4.430137,2.1290004
6.2164383,4.5163484
0.019178081,0.35340118
8.871233,8.620435
3.0328767,1.9308208
6.0136986,5.6140566
3.238356,4.8036447
1.4931507,2.541219
14.00548,14.062984
4.909589,3.6091142
4.9561644,4.3706384
3.6383562,3.5751274
10.00274,9.284299
12.871233,11.287154
5.178082,5.1018443
